procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
156  0      0 151971920  49408 4939488    0    0     0     0 12855 16751  2  0 97  0  0
274  0      0 151957296  49408 4939500    0    0     0     0 12527 15188  2  0 97  0  0
222  0      0 151931680  49408 4939500    0    0     0     0 13235 16538  2  0 97  0  0
153  0      0 151910080  49408 4939500    0    0     0     0 10868 13367  2  0 97  0  0
52  0      0 151898768  49408 4939500    0    0     0     0 11141 14731  2  0 98  0  0
10  0      0 151863984  49408 4939532    0    0     0     0 12214 14866  2  0 97  0  0
66  0      0 151847872  49408 4943304    0    0     0    12 12218 10878  2  0 97  0  0
18  0      0 151829088  49408 4943760    0    0     0     0 13919 12899  2  0 97  0  0
16  0      0 151823088  49408 4943784    0    0     0     0 13692 14828  2  0 97  0  0
14  0      0 151814912  49408 4943784    0    0     0     0 12689 14112  2  0 98  0  0
22  1      0 151793152  49416 4943824    0    0     0    44 12541 13032  2  0 97  0  0
69  1      0 151784256  49416 4943824    0    0     0     0 12642 13415  2  0 97  0  0
16  1      0 151772224  49424 4943816    0    0     0    32 13493 14530  2  0 97  0  0
146  1      0 151754272  49424 4943816    0    0     0     0 12732 13404  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23  1      0 151744944  49424 4943968    0    0     0     0 14520 14132  2  0 97  0  0
 5  1      0 151740800  49432 4943980    0    0     0    44 13262 13804  2  0 97  0  0
43  1      0 151735296  49432 4944128    0    0     0     0 13107 13674  2  0 97  0  0
51  0      0 151727456  49432 4944124    0    0     0     0 15075 17212  2  0 97  0  0
89  0      0 151719488  49432 4944128    0    0     0     0 14525 17061  2  0 97  0  0
118  0      0 151706144  49432 4944128    0    0     0     0 13248 15005  2  0 97  0  0
77  0      0 151698112  49432 4944128    0    0     0     0 11728 13650  2  0 98  0  0
17  0      0 151694080  49432 4944136    0    0     0     0 12120 14245  2  0 97  0  0
22  0      0 151687184  49440 4944144    0    0     0    40 12924 13053  2  0 97  0  0
 8  0      0 151677184  49440 4944164    0    0     0     0 12717 14936  2  0 98  0  0
 4  0      0 151638592  49440 4948468    0    0     0     0 13074 13595  2  0 98  0  0
41  0      0 151601152  49440 4952248    0    0     0     0 12359 11538  2  0 97  0  0
26  0      0 151592064  49440 4952792    0    0     0    12 13032 13646  2  0 97  0  0
 9  0      0 151580784  49440 4952928    0    0     0     0 12222 12690  2  0 98  0  0
101  0      0 151564672  49440 4953132    0    0     0     0 13782 12766  2  0 97  0  0
41  0      0 151553872  49440 4953156    0    0     0     0 13485 14417  2  0 97  0  0
539  0      0 151534768  49440 4957392    0    0     0     0 14276 14409  2  0 97  0  0
19  0      0 151523184  49448 4957412    0    0     0    60 12972 14630  2  0 98  0  0
80  0      0 151505280  49448 4957572    0    0     0     0 12620 12765  2  0 97  0  0
81  0      0 151493888  49448 4957580    0    0     0     0 13901 16823  2  0 97  0  0
57  0      0 151481424  49448 4957628    0    0     0     0 12354 13272  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
61  0      0 151473296  49448 4957628    0    0     0     0 12042 12946  2  0 97  0  0
13  0      0 151460192  49448 4957632    0    0     0    12 12762 13701  2  0 97  0  0
 4  0      0 151437616  49448 4961488    0    0     0     0 12640 12421  2  0 97  0  0
154  0      0 151420320  49448 4961904    0    0     0     0 13351 12910  2  0 97  0  0
