procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 148004816  35240 5076272    0    0     0     7    0    0 42  1 56  0  0
 5  1      0 148003808  35240 5076272    0    0     0     0 13070 14361  2  0 98  0  0
 2  1      0 148001440  35240 5076272    0    0     0     0 12917 14181  2  0 98  0  0
 3  1      0 148001440  35244 5076268    0    0     0    40 12787 14165  2  0 98  0  0
12  0      0 147940560  35244 5121480    0    0     0     0 28635 38177  2  0 97  0  0
11  0      0 147944128  35244 5122536    0    0     0     0 14002 16771  2  0 97  0  0
14  0      0 147939360  35244 5122560    0    0     0    12 13113 13351  2  0 98  0  0
17  0      0 147932640  36296 5123060    0    0  1159     0 15101 23239  2  0 97  1  0
14  0      0 147923232  36364 5123720    0    0    65     0 13682 14534  2  0 97  0  0
13  0      0 147934464  37924 5129152    0    0  1528     0 16486 27439  2  0 97  0  0
10  1      0 147923072  39308 5135120    0    0  1349    44 16615 25699  2  0 97  0  0
12  0      0 147915088  40688 5142764    0    0  1401    36 15493 26157  2  0 97  0  0
13  0      0 147901184  42876 5151396    0    0  2153     0 16927 32608  2  0 97  0  0
11  0      0 147892512  44732 5158408    0    0  1840     0 16241 30117  2  0 97  0  0
10  0      0 147878176  46636 5166772    0    0  1924     0 16318 30204  2  0 97  0  0
12  0      0 147868832  48472 5173680    0    0  1832    44 16329 29814  2  0 97  0  0
19  0      0 147856992  50212 5181716    0    0  1720     0 16162 28914  2  0 97  0  0
13  0      0 147845280  52212 5191220    0    0  1979     0 16470 30998  2  1 97  0  0
10  1      0 147832752  54440 5202528    0    0  2218     0 18056 33119  2  1 97  0  0
12  1      0 147818816  56260 5210764    0    0  1825     0 17892 30387  2  1 97  0  0
 8  1      0 147810624  57384 5214984    0    0  1132     0 15468 25322  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 147712480  57404 5310872    0    0     4   108 39679 60689  2  1 97  0  0
 7  0      0 147698128  57456 5312036    0    0    53     0 13340 15559  2  0 98  0  0
 3  0      0 147683968  57456 5312036    0    0     0     0 12831 15251  2  0 98  0  0
 7  0      0 147670096  57456 5314296    0    0     0     0 13532 16615  2  0 98  0  0
11  0      0 147663984  57456 5314140    0    0     0     0 13774 16062  2  0 97  0  0
12  0      0 147645184  57504 5314092    0    0    42    56 13336 15692  2  0 98  0  0
13  0      0 147636448  57504 5314140    0    0     0     0 12945 15603  2  0 98  0  0
12  0      0 147627984  57504 5314140    0    0     0     0 12861 16052  2  0 98  0  0
11  0      0 147621584  57504 5314140    0    0     0     0 12837 15855  2  0 98  0  0
13  0      0 147604576  57504 5314140    0    0     0     0 12918 15752  2  0 98  0  0
12  0      0 147585280  57504 5314140    0    0     0    24 12939 15766  2  0 98  0  0
12  0      0 147567536  57504 5314148    0    0     0     0 13071 15956  2  0 98  0  0
10  0      0 147560000  57504 5314148    0    0     0     0 12808 16552  2  0 98  0  0
13  0      0 147548144  57504 5320592    0    0     0     0 15045 19418  2  0 97  0  0
12  0      0 147538432  57504 5331716    0    0     0     0 17828 21071  2  0 97  0  0
13  0      0 147537008  57508 5332880    0    0     0    60 13509 15839  2  0 98  0  0
12  0      0 147507760  57508 5362536    0    0     0     0 21348 28743  2  0 97  0  0
10  0      0 147493088  57508 5377576    0    0     0     0 21066 28921  2  0 97  0  0
10  0      0 147491840  57508 5378216    0    0     0     0 13577 15956  2  0 97  0  0
14  0      0 147476480  57508 5393680    0    0     0     0 17941 22628  2  0 97  0  0
12  0      0 147475696  57508 5394328    0    0     0    40 13311 16188  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 147471664  57508 5395080    0    0     0     0 13249 16006  2  0 98  0  0
11  0      0 147448320  57508 5395832    0    0     0     0 13175 16075  2  0 98  0  0
12  0      0 147425056  57508 5398188    0    0     0     0 13723 16967  2  0 97  0  0
14  0      0 147411776  57512 5402400    0    0     0    40 14159 17866  2  0 97  0  0
14  0      0 147404512  57512 5410596    0    0     0     4 16048 20485  2  0 97  0  0
14  0      0 147404944  57512 5410596    0    0     0     0 13127 15707  2  0 97  0  0
11  0      0 147389184  57512 5425956    0    0     0     0 18001 21869  3  0 97  0  0
11  0      0 147388896  57512 5425956    0    0     0     0 12832 15813  2  0 97  0  0
12  0      0 147388912  57512 5425956    0    0     0     0 12976 15658  2  0 98  0  0
12  0      0 147374512  57516 5441100    0    0     0     4 17521 23550  2  0 97  0  0
12  0      0 147360512  57516 5450012    0    0     0     0 16871 20725  2  0 97  0  0
21  0      0 147358832  57516 5450012    0    0     0     0 13734 16340  2  0 97  0  0
12  0      0 147359424  57516 5449956    0    0     0     0 17697 21140  3  1 97  0  0
11  0      0 147359424  57516 5449956    0    0     0     0 16915 22018  2  0 97  0  0
11  0      0 147346688  57516 5449956    0    0     0     0 13026 15595  2  0 98  0  0
10  0      0 147335696  57516 5449956    0    0     0     0 13027 15977  2  0 98  0  0
 9  0      0 147333344  57524 5449992    0    0     0    48 14353 16598  2  0 97  0  0
 6  0      0 147332448  57524 5449992    0    0     0     0 13834 16489  2  0 97  0  0
14  0      0 147315936  57524 5465480    0    0     0     0 17613 23922  2  0 97  0  0
13  0      0 147315968  57524 5465480    0    0     0     0 12845 15584  2  0 98  0  0
12  0      0 147313024  57524 5465480    0    0     0     0 12851 15635  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
