procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 379001056      0 7941396    0    0     0     0    0    0  0  0 100  0  0
 3  0      0 378990048      0 7941396    0    0     0     0 62425 186100  2  1 97  0  0
 4  0      0 378990816      0 7941396    0    0     0     0 63760 189193  2  1 97  0  0
 1  0      0 378992608      0 7941396    0    0     0     0 63129 189338  2  1 97  0  0
 9  0      0 378996128      0 7941396    0    0     0     0 69063 188792  2  1 97  0  0
 8  0      0 378994336      0 7941396    0    0     0     0 63022 188043  2  1 97  0  0
 5  0      0 378991424      0 7941396    0    0     0     0 64178 193363  2  1 97  0  0
 9  0      0 378992928      0 7941396    0    0     0     0 64814 190983  2  1 97  0  0
 4  0      0 378992384      0 7941396    0    0     0     0 64606 189904  2  1 97  0  0
 8  0      0 378993088      0 7941396    0    0     0     0 63282 190751  2  1 97  0  0
 5  0      0 378993440      0 7941396    0    0     0     0 63167 189131  2  1 97  0  0
 6  0      0 378991520      0 7941396    0    0     0     0 61380 188847  2  1 97  0  0
 6  0      0 378993856      0 7941396    0    0     0     0 63521 188839  2  1 97  0  0
 3  0      0 378989056      0 7941396    0    0     0     0 62162 188979  2  1 97  0  0
11  0      0 378990272      0 7941396    0    0     0     0 66040 189970  2  1 97  0  0
13  0      0 378990400      0 7941396    0    0     0     0 62390 188671  2  1 97  0  0
 5  0      0 378991136      0 7941396    0    0     0     0 62634 189547  2  1 97  0  0
 5  0      0 378991232      0 7941396    0    0     0     0 65182 190883  2  1 97  0  0
 5  0      0 378989824      0 7941396    0    0     0     0 61306 187086  2  1 97  0  0
 6  0      0 378991424      0 7941396    0    0     0     0 62691 188705  2  1 97  0  0
 4  0      0 378991296      0 7941396    0    0     0     0 63567 188274  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 378992032      0 7941396    0    0     0     0 63356 189529  2  1 97  0  0
 4  0      0 378992224      0 7941396    0    0     0     0 63233 188838  2  1 97  0  0
 6  0      0 378989952      0 7941396    0    0     0     0 63243 188781  2  1 97  0  0
 4  0      0 378991680      0 7941396    0    0     0     0 63241 190030  2  1 97  0  0
 4  0      0 378992800      0 7941396    0    0     0     0 63935 189718  2  1 97  0  0
 4  0      0 378991040      0 7941396    0    0     0     0 61764 188236  2  1 97  0  0
 2  0      0 378990432      0 7941396    0    0     0     0 62319 188110  2  1 97  0  0
 5  0      0 378994208      0 7941396    0    0     0     0 61286 189101  2  1 97  0  0
 5  0      0 378994528      0 7941396    0    0     0     0 60512 186863  2  1 97  0  0
 5  0      0 378995424      0 7941396    0    0     0     0 59396 187268  1  1 97  0  0
 4  0      0 378993248      0 7941396    0    0     0     0 60017 188747  2  1 97  0  0
 6  0      0 378992544      0 7941396    0    0     0     0 58343 186380  2  1 97  0  0
 5  0      0 378992384      0 7941396    0    0     0     0 59028 187219  2  1 97  0  0
 4  0      0 378992192      0 7941396    0    0     0     0 60156 186973  1  1 97  0  0
12  0      0 378992416      0 7941396    0    0     0     0 61397 187316  2  1 97  0  0
 4  0      0 378990496      0 7941396    0    0     0     0 60391 187401  2  1 97  0  0
 4  0      0 378989440      0 7941396    0    0     0     0 60379 187752  2  1 97  0  0
10  0      0 378990912      0 7941396    0    0     0     0 61973 189200  1  1 97  0  0
 4  0      0 378990784      0 7941396    0    0     0     0 61464 189727  2  1 97  0  0
 7  0      0 378990208      0 7941396    0    0     0     0 60975 188675  2  1 97  0  0
 2  0      0 378991200      0 7941396    0    0     0     0 61228 189400  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 378990528      0 7941396    0    0     0     0 58277 187946  1  1 97  0  0
 4  0      0 378989440      0 7941396    0    0     0     0 59204 186887  1  1 97  0  0
 3  0      0 378987488      0 7941396    0    0     0     0 58917 186400  1  1 97  0  0
 5  0      0 378989056      0 7941396    0    0     0     0 58868 184922  2  1 97  0  0
 3  0      0 378987584      0 7941396    0    0     0     0 58603 185482  1  1 97  0  0
 5  0      0 378990048      0 7941396    0    0     0     0 57305 185771  1  1 97  0  0
 2  0      0 378990208      0 7941396    0    0     0     0 58014 185702  1  1 97  0  0
 6  0      0 378991552      0 7941396    0    0     0     0 57222 186491  1  1 97  0  0
 5  0      0 378991328      0 7941396    0    0     0     0 57737 185906  1  1 97  0  0
 5  0      0 378989056      0 7941396    0    0     0     0 58752 186612  1  1 97  0  0
 3  0      0 378988224      0 7941396    0    0     0     0 59813 187269  1  1 97  0  0
10  0      0 378989184      0 7941396    0    0     0     0 58701 186068  1  1 97  0  0
 4  0      0 378990208      0 7941396    0    0     0     0 58997 187595  1  1 97  0  0
 3  0      0 378989344      0 7941396    0    0     0     0 58651 186747  1  1 97  0  0
 6  0      0 378988800      0 7941396    0    0     0     0 60181 187142  1  1 97  0  0
 4  0      0 378990816      0 7941396    0    0     0     0 56259 187339  1  1 97  0  0
 4  0      0 378990400      0 7941396    0    0     0     0 59013 187127  1  1 97  0  0
 3  0      0 378986560      0 7941396    0    0     0     0 57794 188219  1  1 97  0  0
