procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 186725504  13672 4398640    0    0     0     0    0    0 38  0 62  0  0
 5  0      0 186714736  13672 4398640    0    0     0     0 9954 11620  2  2 97  0  0
 4  0      0 186713856  13672 4398640    0    0     0     0 11583 13002  2  2 96  0  0
 3  0      0 186713056  13680 4398632    0    0     0    12 10676 12532  2  2 96  0  0
 1  0      0 186716000  13680 4398680    0    0     0     0 11041 12496  2  2 96  0  0
 4  0      0 186717376  13680 4398680    0    0     0     0 11286 13576  2  2 96  0  0
 1  0      0 186714928  13680 4398676    0    0     0     0 11116 13814  2  2 96  0  0
 4  0      0 186714592  13680 4398676    0    0     0     0 10747 12027  2  2 96  0  0
 4  0      0 186715392  13680 4398676    0    0     0     0 11242 13417  2  2 96  0  0
 1  0      0 186714768  13680 4398676    0    0     0     0 10791 13587  2  2 96  0  0
 4  0      0 186716544  13680 4398676    0    0     0    44 10482 13606  2  2 96  0  0
 1  0      0 186713856  13680 4398676    0    0     0     0 11814 13787  2  2 96  0  0
 2  0      0 186714720  13680 4398532    0    0     0     0 11968 13688  2  2 96  0  0
 4  0      0 186715296  13680 4398536    0    0     0     0 12014 13881  2  2 96  0  0
 4  0      0 186715104  13680 4398536    0    0     0     0 11468 14344  2  2 96  0  0
 2  0      0 186716000  13688 4398528    0    0     0    56 10748 12653  2  2 96  0  0
 4  0      0 186714816  13688 4398528    0    0     0     0 11187 12865  2  2 96  0  0
 1  0      0 186715680  13688 4398528    0    0     0     0 10864 13939  2  2 96  0  0
 3  0      0 186714592  13688 4398528    0    0     0     0 11640 13952  2  2 96  0  0
 1  0      0 186713792  13688 4398496    0    0     0     0 11377 13168  2  2 96  0  0
 4  0      0 186715072  13688 4398504    0    0     0     0 11989 13720  2  2 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
