procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 162218736  13476 3826376    0    0     0     7    0    0 43  1 55  0  0
 1  1      0 162131568  13484 3886932    0    0 14304     0 24291 36505  2  1 98  0  0
 0  1      0 162129888  15912 3892188    0    0  2591     0 12940 31642  1  0 97  1  0
 0  1      0 162110720  18384 3902924    0    0  2421    36 12522 32598  1  0 98  0  0
 1  1      0 162093344  21536 3915564    0    0  3137     0 13685 39090  1  0 98  0  0
 1  1      0 162073712  24928 3930884    0    0  3404     0 14356 41760  1  1 98  0  0
 0  1      0 162051744  28684 3946588    0    0  3735     0 14879 44907  1  1 98  0  0
 0  1      0 162027904  32712 3965760    0    0  4015     0 15459 48154  1  1 98  0  0
 0  1      0 161980880  35872 4003120    0    0  3146    36 19033 48382  1  1 98  0  0
 2  0      0 161888736  35924 4049308    0    0    53     0 27248 41473  2  1 97  0  0
 3  0      0 161821296  35924 4053828    0    0     0     0 11213 14450  2  0 98  0  0
 2  0      0 161782592  35924 4081864    0    0     0     0 17093 24487  2  0 97  0  0
 8  0      0 161766880  35924 4097224    0    0     0     0 14217 20026  2  0 97  0  0
 9  0      0 161763776  35924 4100232    0    0     0     0 10226 13005  2  0 98  0  0
11  0      0 161751504  35932 4100328    0    0     0    44 10277 12011  2  0 97  0  0
 9  0      0 161719040  35932 4100404    0    0     0     0 9640 11429  2  0 98  0  0
 9  0      0 161719056  35932 4100404    0    0     0     0 8581 10538  1  0 98  0  0
 8  0      0 161719056  35932 4100404    0    0     0     0 8504 10704  1  0 99  0  0
 7  0      0 161719632  35932 4100408    0    0     0     0 8588 10790  1  0 99  0  0
 7  0      0 161715360  35940 4100400    0    0     0    40 8415 10588  1  0 99  0  0
 7  0      0 161716160  35940 4100408    0    0     0     0 9096 10954  1  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
71  0      0 161698368  35940 4100540    0    0     0     0 11461 13845  2  0 98  0  0
19  0      0 161677488  35940 4100756    0    0     0    36 12435 13882  2  1 97  0  0
56  0      0 161652720  35940 4100920    0    0     0     0 12897 14799  2  0 97  0  0
75  0      0 161622064  35940 4101100    0    0     0     0 10780 12125  2  0 97  0  0
79  0      0 161603536  35940 4101204    0    0     0     0 11653 13636  2  0 97  0  0
13  0      0 161569184  35948 4101360    0    0     0    40 10074 11573  2  0 98  0  0
49  0      0 161550592  35956 4101356    0    0     0    56 12690 13060  2  1 97  0  0
28  0      0 161536176  35956 4101620    0    0     0     0 13334 14217  2  1 97  0  0
104  0      0 161512016  35956 4101292    0    0     0     0 19771 25228  3  1 97  0  0
43  0      0 161488544  35956 4101300    0    0     0     0 11604 15226  2  0 97  0  0
85  0      0 161462720  35956 4101312    0    0     0     0 11685 14079  2  0 97  0  0
80  0      0 161437408  35964 4101320    0    0     0    60 12102 15089  2  0 97  0  0
210  0      0 161412160  35964 4101320    0    0     0     0 11929 14774  2  0 97  0  0
49  0      0 161395840  35964 4101328    0    0     0     0 10282 10998  2  0 97  0  0
23  0      0 161373264  35964 4101900    0    0     0     0 10360 10268  2  0 98  0  0
25  0      0 161339424  35964 4102012    0    0     0     0 11219 12810  2  0 97  0  0
46  0      0 161317792  35964 4102020    0    0     0     0 11893 14635  2  0 97  0  0
28  0      0 161287840  35972 4102196    0    0     0    28 10614 10319  2  1 97  0  0
126  0      0 161260768  35972 4102236    0    0     0     0 14685 20624  2  0 97  0  0
183  1      0 161238368  35972 4102460    0    0     0     0 11550 14898  2  0 97  0  0
177  1      0 161215808  35972 4102468    0    0     0     0 10833 12540  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
92  1      0 161193312  35972 4102460    0    0     0     0 10803 12241  2  0 97  0  0
 2  1      0 161150720  35980 4102408    0    0     0    40 11388 11097  2  0 97  0  0
 3  1      0 161127184  35980 4102372    0    0     0     0 10266 11751  2  0 98  0  0
19  0      0 161110976  35980 4102372    0    0     0     0 11439 11867  2  0 98  0  0
94  0      0 161068592  35980 4103876    0    0     0     0 11352 11404  2  0 97  0  0
225  0      0 161064384  35980 4104528    0    0     0     4 9809 9068  2  0 97  0  0
24  0      0 161062976  35980 4104572    0    0     0     0 10637 10769  2  0 97  0  0
56  0      0 161053520  35980 4104904    0    0     0     0 13332 12533  2  0 97  0  0
10  0      0 161028576  35988 4105572    0    0     0    44 11821 11473  2  0 98  0  0
52  0      0 161024240  35988 4105560    0    0     0     0 12606 12044  2  0 97  0  0
24  0      0 161019856  35988 4105572    0    0     0     0 11184 10820  2  0 97  0  0
14  0      0 161008416  35988 4105740    0    0     0     0 12463 13392  2  0 97  0  0
 7  0      0 160983744  35988 4106744    0    0     0     0 11140 11254  2  0 98  0  0
10  0      0 160978016  35988 4105008    0    0     0     0 11059 14062  2  0 98  0  0
40  0      0 160972208  35988 4105008    0    0     0     0 11317 11922  2  0 98  0  0
 1  0      0 160972944  35996 4104652    0    0     0   108 10601 13029  2  0 98  0  0
10  0      0 160969200  35996 4104500    0    0     0     0 11128 14004  2  0 98  0  0
12  0      0 160967024  35996 4104512    0    0     0     0 10006 12357  2  0 98  0  0
16  0      0 160963392  35996 4104512    0    0     0     0 10797 12998  2  0 98  0  0
32  0      0 160956960  35996 4104512    0    0     0     0 12347 13112  2  0 98  0  0
24  0      0 160951904  36004 4104504    0    0     0    24 10988 12759  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 160944800  36004 4104504    0    0     0     0 12069 13126  2  0 98  0  0
 2  0      0 160940160  36004 4104504    0    0     0     0 10714 12066  2  0 98  0  0
 2  0      0 160938144  36004 4104504    0    0     0     0 10478 14084  2  0 98  0  0
10  0      0 160931216  36004 4104504    0    0     0     0 11357 11996  2  0 98  0  0
 1  0      0 160931216  36004 4104504    0    0     0     0 10067 12180  2  0 98  0  0
15  0      0 160926992  36008 4104500    0    0     0     4 11330 13745  2  0 98  0  0
36  0      0 160923680  36008 4105656    0    0     0     0 11649 13762  2  0 98  0  0
14  0      0 160919520  36008 4105456    0    0     0     0 10989 13257  2  0 98  0  0
 4  0      0 160911152  36008 4105496    0    0     0     0 11907 12241  2  0 98  0  0
30  0      0 160906272  36008 4105496    0    0     0    20 10970 12048  2  0 98  0  0
24  0      0 160849920  36008 4105788    0    0     0     0 14762 13195  2  1 97  0  0
 6  0      0 160844336  36016 4106092    0    0     0    72 12221 11682  2  0 97  0  0
22  0      0 160844336  36016 4106092    0    0     0     0 10364 12432  2  0 98  0  0
25  0      0 160842176  36016 4106092    0    0     0     0 11297 12325  2  0 98  0  0
17  0      0 160837824  36016 4106092    0    0     0     0 10392 11558  2  0 98  0  0
16  0      0 160836608  36016 4106440    0    0     0     0 11277 13280  2  0 98  0  0
13  0      0 160834432  36016 4106532    0    0     0     0 10373 12446  2  0 98  0  0
22  0      0 160834416  36024 4106524    0    0     0    40 10838 12282  2  0 98  0  0
 5  0      0 160834192  36024 4106524    0    0     0     0 13007 13136  2  0 98  0  0
12  0      0 160833568  36024 4106524    0    0     0     0 12333 13010  2  0 98  0  0
 4  0      0 160833472  36024 4107180    0    0     0     0 12583 13383  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
