procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 374869824      0 8079988    0    0     0     0    1    1  0  0 100  0  0
 0  1      0 374744000  21036 8143664    0    0 20897     0 4873 10393  0  0 99  0  0
 1  1      0 374743680  21036 8144644    0    0     0     0 1469 2555  0  0 99  1  0
 0  1      0 374743936  21036 8144892    0    0     0     0 1630 3005  0  0 99  1  0
 0  1      0 374743904  21036 8144892    0    0     0     0 1453 2504  0  0 99  1  0
 0  1      0 374743904  21036 8144892    0    0     0     0 1320 2302  0  0 99  1  0
 0  1      0 374744224  21036 8144892    0    0     0     0 1405 2536  0  0 99  1  0
 1  1      0 374744960  21036 8144892    0    0     0     0 1457 2555  0  0 99  1  0
 0  0      0 374611648  21408 8145448    0    0   384     0 16390 57501  1  0 98  0  0
 0  0      0 374611392  21408 8145448    0    0     0     0 1238 2339  0  0 100  0  0
 0  0      0 374612992  21408 8146276    0    0     0     0 1297 2444  0  0 100  0  0
 1  0      0 374613056  21408 8146276    0    0     0     0 1362 2364  0  0 100  0  0
 0  0      0 374609952  21408 8146276    0    0     0     0 1291 2157  0  0 100  0  0
 0  1      0 374598784  21408 8146276    0    0     0     0 1866 3415  0  0 100  0  0
 0  1      0 374598976  21408 8146304    0    0     0     0 2271 4247  0  0 99  1  0
 2  1      0 374593984  21408 8146324    0    0     0     0 2721 5659  0  0 99  1  0
 4  1      0 374590464  21408 8147828    0    0     0     0 2300 3937  0  0 99  0  0
 0  0      0 374580896  21408 8146288    0    0     0     0 3014 5882  0  0 100  0  0
 1  0      0 374580672  21408 8146288    0    0     0     0 2229 4152  0  0 100  0  0
 0  0      0 374578432  21408 8146296    0    0     0     0 2332 4083  0  0 100  0  0
 2  0      0 374571264  21408 8146316    0    0     0     0 2968 5691  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 374568640  21408 8146316    0    0     0     0 2296 4551  0  0 100  0  0
 0  0      0 374561536  21408 8146332    0    0     0     0 4421 5547  0  0 100  0  0
 0  0      0 374563520  21408 8146332    0    0     0     0 2603 4734  0  0 100  0  0
 2  0      0 374606080  21408 8146332    0    0     0     0 1916 3028  0  0 100  0  0
 0  0      0 374605952  21408 8146336    0    0     0     0 1985 3205  0  0 100  0  0
 0  0      0 374609056  21408 8146356    0    0     0     0 1674 2988  0  0 100  0  0
 0  0      0 374609440  21408 8146364    0    0     0     0 2086 3583  0  0 100  0  0
 0  0      0 374611520  21408 8146372    0    0     0     0 1874 3080  0  0 100  0  0
 0  0      0 374612320  21408 8146372    0    0     0     0 1724 2784  0  0 100  0  0
 0  0      0 374614400  21408 8146388    0    0     0     0 2244 3737  0  0 100  0  0
 0  0      0 374614656  21408 8146388    0    0     0     0 1762 3347  0  0 100  0  0
 0  0      0 374612736  21408 8146392    0    0     0     0 2075 3257  0  0 100  0  0
 0  0      0 374613920  21408 8146404    0    0     0     0 2062 3544  0  0 100  0  0
 0  0      0 374614048  21408 8146404    0    0     0     0 1866 3185  0  0 100  0  0
 0  0      0 374614848  21408 8146412    0    0     0     0 2110 3431  0  0 100  0  0
 0  0      0 374615840  21408 8146424    0    0     0     0 1523 2441  0  0 100  0  0
 0  0      0 374615840  21408 8146428    0    0     0     0 2004 3327  0  0 100  0  0
