procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 377946336      0 7983652    0    0     0     0    0    0  0  0 100  0  0
 1  0      0 377903296      0 7983660    0    0     0     0 370935 338889  7  3 90  0  0
 2  0      0 377902176      0 7983660    0    0     0     0 452974 373531  9  4 88  0  0
59  0      0 377876448      0 7983660    0    0     0     0 505453 380697  9  4 87  0  0
 1  0      0 377883616      0 7983660    0    0     0     0 500713 558893 10  6 85  0  0
 1  0      0 377883264      0 7983660    0    0     0     0 495055 567596 11  6 84  0  0
38  0      0 377884096      0 7983660    0    0     0     0 540835 571550 11  6 83  0  0
 1  0      0 377882496      0 7983660    0    0     0     0 522007 579735 11  6 83  0  0
19  0      0 377876256      0 7983660    0    0     0     0 568035 572511 11  6 83  0  0
10  0      0 377874208      0 7983660    0    0     0     0 552534 602131 11  6 83  0  0
 1  0      0 377881088      0 7983660    0    0     0     0 539283 581871 11  6 82  0  0
 1  0      0 377881216      0 7983660    0    0     0     0 542713 576459 11  6 83  0  0
73  0      0 377883808      0 7983660    0    0     0     0 538767 562623 11  6 83  0  0
59  0      0 377885024      0 7983660    0    0     0     0 541130 576023 12  6 83  0  0
 1  0      0 377881408      0 7983660    0    0     0     0 543778 594423 12  6 82  0  0
 2  0      0 377884416      0 7983664    0    0     0     0 572516 586291 11  6 83  0  0
73  0      0 377884480      0 7983664    0    0     0     0 524219 579322 11  6 83  0  0
20  0      0 377883072      0 7983664    0    0     0     0 581301 585220 11  6 83  0  0
 4  0      0 377881280      0 7983664    0    0     0     0 544811 607460 11  6 82  0  0
20  0      0 377875200      0 7983664    0    0     0     0 571952 606169 11  6 82  0  0
58  0      0 377879200      0 7983664    0    0     0     0 543208 603993 11  7 82  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 377877536      0 7983664    0    0     0     0 584509 611883 12  6 82  0  0
47  0      0 377886144      0 7983664    0    0     0     0 542233 609817 11  6 83  0  0
46  0      0 377882048      0 7983664    0    0     0     0 550595 618122 12  7 82  0  0
50  0      0 377884576      0 7983664    0    0     0     0 579247 603794 11  6 83  0  0
70  0      0 377884160      0 7983664    0    0     0     0 548138 606831 11  6 82  0  0
71  0      0 377883968      0 7983664    0    0     0     0 551386 602937 11  6 82  0  0
27  0      0 377886944      0 7983664    0    0     0     0 548407 613980 12  6 82  0  0
56  0      0 377885536      0 7983664    0    0     0     0 538870 610219 11  6 82  0  0
80  0      0 377885408      0 7983664    0    0     0     0 564017 624325 12  6 82  0  0
62  0      0 377886016      0 7983664    0    0     0     0 570094 613680 12  7 82  0  0
14  0      0 377886336      0 7983664    0    0     0     0 581818 617353 12  6 82  0  0
 1  0      0 377890464      0 7983664    0    0     0     0 577710 628041 12  6 82  0  0
59  0      0 377891456      0 7983664    0    0     0     0 577260 622166 12  6 82  0  0
 1  0      0 377893344      0 7983664    0    0     0     0 591305 630147 12  7 81  0  0
 1  0      0 377891648      0 7983664    0    0     0     0 592154 626232 12  6 82  0  0
 1  0      0 377891392      0 7983664    0    0     0     0 558417 626165 12  6 82  0  0
