procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 186962784  13384 4022016    0    0     0     2    0    0 38  1 62  0  0
64  0      0 186851680  13384 4022024    0    0     0     0 148847 101533  8 58 35  0  0
63  0      0 186837552  13384 4022024    0    0     0     0 168400 108436  8 65 27  0  0
50  0      0 186825120  13392 4022024    0    0     0    12 328964 111350  8 65 27  0  0
38  0      0 186824176  13392 4022028    0    0     0     0 158332 109647  8 66 27  0  0
48  0      0 186819168  13392 4022024    0    0     0     0 164334 114487  8 66 26  0  0
59  0      0 186820608  13392 4022024    0    0     0     0 154827 115980  8 66 27  0  0
53  0      0 186810544  13392 4022024    0    0     0     0 201694 116546  8 64 27  0  0
55  0      0 186812368  13392 4022024    0    0     0     0 187212 113362  7 63 30  0  0
32  0      0 186811296  13400 4022024    0    0     0    60 192762 121640  8 65 27  0  0
79  0      0 186807040  13400 4022024    0    0     0     0 196982 118380  8 63 29  0  0
60  0      0 186811392  13400 4022032    0    0     0     0 202661 117942  8 64 28  0  0
85  0      0 186811472  13400 4022032    0    0     0     0 230437 122548  8 64 28  0  0
60  0      0 186815280  13400 4022032    0    0     0     0 271690 120499  8 65 27  0  0
64  0      0 186816544  13400 4022032    0    0     0     4 181531 122116  8 65 27  0  0
69  0      0 186813072  13400 4022032    0    0     0     0 188980 121828  8 65 27  0  0
60  0      0 186813328  13408 4022032    0    0     0    44 154808 121718  8 65 27  0  0
85  0      0 186816656  13408 4022032    0    0     0     0 157879 122220  8 65 27  0  0
50  0      0 186811088  13408 4022032    0    0     0     0 285803 124757  8 64 28  0  0
41  0      0 186809024  13408 4022036    0    0     0     0 218012 124951  8 63 28  0  0
63  0      0 186814048  13408 4022036    0    0     0     0 207544 123507  8 63 29  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
74  0      0 186810992  13408 4022040    0    0     0     0 234046 121419  8 63 30  0  0
48  0      0 186808416  13408 4022040    0    0     0     0 310117 121825  8 63 29  0  0
28  0      0 186804384  13408 4022040    0    0     0     0 256910 120675  8 64 29  0  0
64  0      0 186804480  13408 4022040    0    0     0     8 199658 118906  9 60 31  0  0
60  0      0 186808928  13416 4022040    0    0     0    60 288493 117390  8 61 31  0  0
68  0      0 186804160  13416 4022040    0    0     0     0 218608 119173  8 64 28  0  0
60  0      0 186806944  13416 4022040    0    0     0     0 200571 121507  8 65 27  0  0
74  0      0 186805984  13416 4022040    0    0     0     0 306695 121340  8 66 27  0  0
59  0      0 186803360  13416 4022040    0    0     0    72 184472 122710  8 65 27  0  0
72  0      0 186806928  13416 4022040    0    0     0     0 182459 123290  8 66 27  0  0
78  0      0 186803424  13416 4022040    0    0     0     0 193634 124365  8 64 28  0  0
57  0      0 186807888  13416 4022040    0    0     0     0 154185 120643  8 64 27  0  0
20  0      0 186807008  13416 4022044    0    0     0     0 178581 123065  8 66 26  0  0
62  0      0 186806944  13424 4022040    0    0     0    44 186515 123492  8 64 28  0  0
50  0      0 186805328  13424 4022040    0    0     0     0 278445 122696  8 65 27  0  0
56  0      0 186804320  13424 4022040    0    0     0     0 237785 122065  8 65 27  0  0
58  0      0 186802816  13424 4022040    0    0     0     0 238568 120552  8 63 29  0  0
43  0      0 186805200  13424 4022040    0    0     0     0 190598 123478  8 63 29  0  0
73  0      0 186802432  13424 4022040    0    0     0     0 196385 126435  8 64 28  0  0
72  0      0 186804080  13432 4022040    0    0     0    44 283555 122191  8 65 27  0  0
49  0      0 186805856  13432 4022040    0    0     0     0 188704 122290  8 65 27  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
60  0      0 186807552  13432 4022040    0    0     0     0 194716 122465  8 66 26  0  0
56  0      0 186809968  13440 4022048    0    0     0    20 241461 117302  8 63 30  0  0
68  0      0 186809216  13440 4022048    0    0     0    16 194558 121151  8 64 28  0  0
65  0      0 186807984  13440 4022048    0    0     0     0 172281 122331  8 65 27  0  0
67  0      0 186808448  13440 4022048    0    0     0     0 207555 122467  8 64 28  0  0
56  0      0 186805440  13440 4022048    0    0     0     0 306213 124707  8 64 28  0  0
68  0      0 186801488  13448 4022040    0    0     0    52 218435 122439  8 65 27  0  0
50  0      0 186806848  13448 4022048    0    0     0     0 185346 121044  8 65 27  0  0
83  0      0 186805248  13448 4022148    0    0     0     0 203315 122667  7 65 28  0  0
76  0      0 186802624  13448 4022148    0    0     0     0 213448 124334  8 65 27  0  0
66  0      0 186796048  13448 4022148    0    0     0     0 218897 117531  8 59 33  0  0
58  0      0 186805552  13448 4022148    0    0     0     0 173980 121270  8 65 27  0  0
60  0      0 186808448  13448 4022148    0    0     0     8 173110 123869  8 65 27  0  0
65  0      0 186804800  13456 4022144    0    0     0    48 186529 126298  8 65 27  0  0
58  0      0 186807904  13456 4022148    0    0     0     0 237373 122305  8 65 27  0  0
60  0      0 186807776  13456 4022148    0    0     0     0 183648 125735  8 64 28  0  0
86  0      0 186797184  13456 4022148    0    0     0     0 212155 127394  8 63 29  0  0
12  0      0 186803648  13456 4022148    0    0     0     0 220262 119100  8 62 30  0  0
83  0      0 186801888  13456 4022148    0    0     0     0 199888 114252  9 59 33  0  0
