procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 187043136  12888 3933732    0    0     0     2    0    0 38  1 62  0  0
 8  0      0 186979728  12888 3933740    0    0     0     0 27177 25965  5  6 90  0  0
 8  0      0 186961232  12888 3933744    0    0     0     0 39695 25202  5  6 89  0  0
 8  0      0 186961280  12888 3933744    0    0     0     0 28545 24179  5  5 89  0  0
 8  0      0 186957504  12888 3933744    0    0     0     0 29431 25947  5  5 89  0  0
 8  0      0 186957872  12888 3933744    0    0     0     0 34702 30016  5  5 89  0  0
 8  0      0 186955136  12888 3933748    0    0     0     0 29098 28199  5  6 89  0  0
 7  0      0 186950880  12888 3933748    0    0     0    16 32178 29320  5  5 89  0  0
 8  0      0 186964624  12896 3933748    0    0     0    64 39765 29411  5  6 89  0  0
 9  0      0 186958736  12896 3933748    0    0     0     0 37986 23409  5  5 89  0  0
 8  0      0 186953632  12896 3933748    0    0     0     0 28520 24536  6  5 89  0  0
 8  0      0 186956064  12896 3933752    0    0     0     0 31943 24799  5  5 89  0  0
 8  0      0 186954112  12896 3933752    0    0     0    60 30480 23790  5  5 89  0  0
 8  0      0 186954928  12896 3933752    0    0     0     0 29179 21957  6  5 89  0  0
 8  0      0 186963056  12896 3933752    0    0     0     0 29093 21818  5  5 89  0  0
 8  0      0 186960928  12896 3933756    0    0     0     0 36328 26741  6  5 89  0  0
 8  0      0 186957280  12896 3933756    0    0     0     0 32809 24153  6  5 89  0  0
 8  0      0 186952480  12896 3933756    0    0     0     0 31848 24932  5  5 89  0  0
 8  0      0 186963712  12896 3933756    0    0     0     0 32887 25895  5  5 89  0  0
 8  0      0 186957664  12896 3933756    0    0     0     0 34485 24139  6  5 89  0  0
 8  0      0 186951136  12896 3933760    0    0     0     0 28659 25077  6  5 89  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 186953776  12904 3933760    0    0     0    20 33036 23228  6  5 89  0  0
 8  0      0 186952432  12904 3933760    0    0     0     0 30606 22550  6  5 89  0  0
 8  0      0 186960000  12904 3933760    0    0     0     0 34213 23118  6  5 89  0  0
 8  0      0 186950880  12904 3933760    0    0     0     0 31982 25401  6  5 89  0  0
 9  0      0 186962304  12904 3933760    0    0     0     0 30237 21698  5  5 89  0  0
 8  0      0 186952672  12912 3933760    0    0     0    44 31213 23283  5  5 89  0  0
 9  0      0 186950976  12912 3933756    0    0     0    12 41809 28312  6  6 89  0  0
 9  0      0 186962592  12912 3933652    0    0     0     0 36216 22718  6  5 89  0  0
 8  0      0 186957856  12912 3933656    0    0     0     0 35774 19960  5  5 89  0  0
 8  0      0 186964080  12912 3933656    0    0     0     0 31222 24792  5  5 89  0  0
 8  0      0 186965888  12912 3933656    0    0     0     0 24737 20279  5  5 89  0  0
 8  0      0 186956512  12920 3933656    0    0     0    48 35711 25664  5  5 89  0  0
 8  0      0 186956272  12920 3933656    0    0     0     0 28926 22635  5  5 89  0  0
 8  0      0 186957424  12920 3933656    0    0     0     0 32685 23210  5  5 89  0  0
 8  0      0 186954496  12920 3933656    0    0     0     0 29430 24603  5  5 89  0  0
 8  0      0 186956736  12920 3933656    0    0     0     0 33639 26343  6  5 89  0  0
 8  0      0 186963184  12920 3933652    0    0     0     4 31563 22256  5  5 89  0  0
 9  0      0 186964000  12920 3933652    0    0     0     0 37286 22621  5  5 89  0  0
 3  0      0 186963792  12920 3933652    0    0     0     0 28829 24989  5  5 89  0  0
 8  0      0 186956800  12920 3933652    0    0     0     0 30161 20930  5  5 89  0  0
 8  0      0 186969088  12920 3933656    0    0     0     0 35983 22906  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 186957600  12928 3933656    0    0     0    48 32893 24477  5  5 89  0  0
 9  0      0 186960848  12928 3933660    0    0     0     0 30124 22029  5  5 89  0  0
 8  0      0 186957872  12928 3933660    0    0     0     0 40594 24488  5  5 89  0  0
 8  0      0 186957024  12928 3933660    0    0     0     0 37204 21503  5  6 89  0  0
11  0      0 186966448  12928 3933660    0    0     0     0 32198 22966  5  5 89  0  0
 8  0      0 186960784  12928 3933644    0    0     0     0 39505 22269  5  6 89  0  0
