procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 186984432   6052 3884400    0    0     0     8    0    0 35  0 65  0  0
 2  0      0 186962160   6052 3885712    0    0     0     0 6075 14513  1  1 98  0  0
 2  0      0 186963456   6052 3885732    0    0     0     0 5163 3938  1  1 97  0  0
 2  0      0 186958144   6052 3885732    0    0     0     0 4529 4095  1  1 97  0  0
 2  0      0 186959552   6052 3885732    0    0     0     0 4794 4309  1  1 98  0  0
 3  0      0 186957104   6052 3885732    0    0     0     0 5086 3346  1  1 97  0  0
 2  0      0 186958816   6060 3885844    0    0     0    40 4326 4007  1  1 97  0  0
 3  0      0 186957184   6060 3885852    0    0     0     0 4977 4003  1  1 97  0  0
 2  0      0 186957360   6060 3885868    0    0     0     0 4574 3670  1  1 97  0  0
 2  0      0 186960160   6060 3885868    0    0     0     0 4398 3498  1  1 97  0  0
 2  0      0 186958592   6060 3885956    0    0     0    32 6559 5160  1  1 97  0  0
 2  0      0 186958528   6060 3885956    0    0     0     0 4154 3705  1  1 97  0  0
 3  0      0 186955152   6060 3885956    0    0     0     0 5191 4160  1  1 97  0  0
 2  0      0 186956576   6060 3886020    0    0     0     0 5061 3623  1  1 97  0  0
 3  0      0 186953952   6060 3886020    0    0     0     0 4672 4065  1  1 97  0  0
 2  0      0 186957504   6068 3886012    0    0     0    44 5145 3508  1  1 97  0  0
 2  0      0 186955984   6068 3886012    0    0     0     0 4785 3934  1  1 97  0  0
 2  0      0 186954720   6068 3886012    0    0     0     0 4674 4433  1  1 97  0  0
 2  0      0 186954848   6068 3886012    0    0     0     0 4560 4021  1  1 97  0  0
 2  0      0 186957392   6068 3886084    0    0     0     0 6797 4818  1  1 97  0  0
 2  0      0 186952144   6076 3886108    0    0     0   116 4862 4239  1  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 186954880   6076 3886280    0    0     0     0 6344 4375  1  1 97  0  0
 2  0      0 186954800   6076 3886280    0    0     0     0 5265 3681  1  1 97  0  0
 2  0      0 186954560   6076 3886092    0    0     0     0 4372 3325  1  1 97  0  0
 2  0      0 186953104   6076 3886092    0    0     0     0 4541 3838  1  1 98  0  0
 3  0      0 186954928   6084 3886084    0    0     0   500 4612 3886  1  1 97  0  0
 2  0      0 186953344   6084 3886092    0    0     0     0 4554 3659  1  1 97  0  0
 2  0      0 186954720   6084 3886092    0    0     0     0 4967 3480  1  1 97  0  0
 2  0      0 186954512   6084 3886092    0    0     0     0 4570 3942  1  1 97  0  0
 2  0      0 186953776   6084 3886092    0    0     0     0 4604 3525  1  1 98  0  0
 2  0      0 186953536   6084 3886092    0    0     0    80 5676 3753  1  1 97  0  0
 2  0      0 186953632   6100 3886076    0    0     0    64 4456 3535  1  1 97  0  0
 2  0      0 186954224   6100 3886076    0    0     0     0 4449 3792  1  1 98  0  0
 2  0      0 186954208   6100 3886076    0    0     0     0 4936 3685  1  1 97  0  0
 2  0      0 186954016   6100 3886076    0    0     0     0 4506 3708  1  1 98  0  0
 2  0      0 186955520   6100 3886076    0    0     0     0 4952 4156  1  1 97  0  0
 2  0      0 186951776   6100 3886076    0    0     0     0 4552 3595  1  1 97  0  0
 2  0      0 186952400   6100 3886076    0    0     0     0 4317 3477  1  1 98  0  0
 2  0      0 186955360   6100 3886076    0    0     0     0 5132 3364  1  1 97  0  0
 2  0      0 186954832   6100 3886076    0    0     0     0 4623 3887  1  1 97  0  0
 2  0      0 186958048   6100 3886116    0    0     0     0 4709 3770  1  1 97  0  0
 2  0      0 186957088   6100 3886120    0    0     0     0 5303 3541  1  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 186958112   6100 3886120    0    0     0     0 4746 3518  1  1 97  0  0
 2  0      0 186959264   6100 3886124    0    0     0     0 5256 3777  1  1 97  0  0
 2  0      0 186956160   6100 3886124    0    0     0     0 5056 3897  1  1 97  0  0
 2  0      0 186957472   6100 3886124    0    0     0    68 4489 3551  1  1 97  0  0
 2  0      0 186956752   6100 3886124    0    0     0     0 4407 3765  1  1 97  0  0
 2  0      0 186957856   6100 3886124    0    0     0     0 4537 3536  1  1 97  0  0
 2  0      0 186958320   6100 3886124    0    0     0     0 4318 3598  1  1 97  0  0
 2  0      0 186958464   6100 3886124    0    0     0     0 4976 4058  1  1 98  0  0
 2  0      0 186959584   6100 3886124    0    0     0     0 4611 3392  1  1 97  0  0
 2  0      0 186958944   6100 3886124    0    0     0     0 4358 3482  1  1 97  0  0
 2  0      0 186957936   6100 3886124    0    0     0     0 5032 3703  1  1 97  0  0
 3  0      0 186954752   6100 3886124    0    0     0     0 4853 4122  1  1 97  0  0
 2  0      0 186956576   6100 3886140    0    0     0     0 5014 3321  1  1 97  0  0
 2  0      0 186957664   6100 3886140    0    0     0    16 4692 3744  1  1 97  0  0
 2  0      0 186953968   6100 3886140    0    0     0     0 4571 3781  1  1 97  0  0
 2  0      0 186955840   6100 3886140    0    0     0     0 4654 3612  1  1 97  0  0
 2  0      0 186952880   6108 3886132    0    0     0    28 4610 4079  1  1 97  0  0
 2  0      0 186955680   6108 3886132    0    0     0     0 4646 4109  1  1 97  0  0
 3  0      0 186959104   6108 3886144    0    0     0     4 5162 4213  1  1 97  0  0
