procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 1885000 163032   9664 423212    4   45   312    91  390  151  8  3 89  0  0
 0  0 2097148 180292  10872 569340 1164 227868 136605 227972 21366 37892 18 11 69  3  0
 0  0 2097120 180040  10872 569564   28    0    28     0 5458 6750 13  1 87  0  0
 0  0 2097108 179788  10872 569564   12    0    12     0 5479 6294 13  1 86  0  0
 0  0 2097092 178556  10872 569564  668    0   712     0 5585 6351 12  1 87  0  0
 0  0 2097072 178052  10872 569608   20    0    20     0 5480 6446 13  1 86  0  0
 1  2 2097048 158516  10916 574244 20348 20292 21524 43668 14109 18297 15  5 76  4  0
 1  1 2097076 179200   9660 528484 61504 60144 61508 60144 27593 44143 11  6 73 10  0
 2  0 2097104 159588   9348 514952 83892 82356 83892 82356 37001 54039 11 12 62 15  0
 1  3 2079916 173216   7152 461988 115724 95328 115832 95328 41408 69385 11  6 63 19  0
 2  2 2087460 164220   7156 457720 92320 98380 92476 98684 37207 58146 12  4 68 16  0
 1  3 2096972 172176   6704 425704 104044 110812 107252 110936 44170 63458 12  9 60 19  0
 1  3 2096000 151900   4172 388572 119072 115788 131721 115984 51807 71527 13 32 35 20  0
 1  6 2096644 173192   1856 339424 116828 112504 117104 112504 46314 69754 11 10 59 20  0
 3  2 2096972 148924   1232 312532 149056 144288 151524 144288 60633 83844 10 19 44 27  0
 4  3 2097116 151176   1012 278520 75200 74624 81541 74740 34717 50649 12 22 53 13  0
 7  1 2097112 141312    520 276948 43180 40356 266375 40392 33986 37807  9 77  4 10  0
 5  1 2097144 145100    560 271788  360  372 258282   436 17111 24521  8 73 12  7  0
 7  0 2097148 140036    400 278036  316  308 285258   316 18989 24783 12 71 11  6  0
 8  0 2097148 147712    504 266644  340  320 199858   320 16011 22913 15 67 12  5  0
 6  1 2097148 141580    492 271996  148  148 233750   148 15461 23376  8 73 11  8  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  9 2097148 140120    500 274292   88   92 231997   104 16797 23952  7 75 12  6  0
 7  0 2097148 145272    556 267336    8    8 244860    12 16242 23687  7 73 12  8  0
 8  1 2097148 143400    568 269076   28   16 252606    16 16399 23608  7 75 11  7  0
 4  4 2097148 142040    564 270888    4    4 236574     4 16091 23115  8 73 12  7  0
 6  0 2097148 142972    564 268332    0    0 234986     0 16007 23128  7 74 12  7  0
 5  4 2097148 140980    556 268264    0    0 252804     4 17840 22431  8 75  8 10  0
 6  4 2097148 139988    492 269984   12   12 278771    28 19385 21136  7 78  5 10  0
 5  1 2097148 140064    312 267888    0    0 272856     4 19393 21402  8 75  6 11  0
 4  2 2097148 140352    316 268836    0    0 265281     4 18653 20995  6 78  5 11  0
 6  2 2097148 140036    316 265636    8   12 262867    12 19364 20484  7 78  4 11  0
71 22 2097148 139924    416 268204    4    4 279503     4 18281 21995  8 80  2 10  0
 6  6 2097148 140836    420 268588    0    0 218298    12 15943 19757  9 82  1  8  0
 8  4 2097148 140700    420 267068   12   12 176621    16 14454 15013  8 84  1  7  0
 7  5 2097148 140692    420 268112    0    0 186714     0 14187 16333  9 82  1  8  0
165 72 2097148 141804    524 267228    4    4 180313     8 15358 17097  8 83  1  8  0
 9  2 2097148 140800    524 267660    0    4 186045     4 14908 15246  9 84  1  7  0
 4  8 2097148 140052    512 268824    0    0 183098    16 14279 18066 10 80  1  8  0
