procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 129830224  32580 4354712    0    0     0    52 19233 32069  3  0 97  0  0
 0  0      0 129830224  32580 4354712    0    0     0     0 19370 32104  3  0 96  0  0
 3  0      0 129829504  32580 4354712    0    0     0     0 20093 32661  3  0 96  0  0
13  0      0 129827408  32580 4354716    0    0     0     0 19504 32659  3  0 96  0  0
 4  0      0 129827856  32580 4354716    0    0     0     0 19164 31924  3  0 96  0  0
 3  0      0 129827984  32580 4354716    0    0     0     0 19422 31996  3  0 96  0  0
 0  0      0 129827984  32588 4354716    0    0     0    16 19273 32056  3  0 96  0  0
 0  0      0 129828112  32588 4354716    0    0     0     0 19399 32063  3  0 96  0  0
 7  0      0 129827984  32588 4354716    0    0     0     0 19170 31889  3  0 96  0  0
 2  0      0 129827984  32588 4354716    0    0     0     0 19549 32695  3  0 96  0  0
 0  0      0 129827984  32588 4354716    0    0     0     0 19308 32028  3  0 96  0  0
 2  0      0 129827984  32588 4354716    0    0     0     0 19903 32329  3  1 96  0  0
 1  0      0 129828480  32588 4354716    0    0     0     0 20045 32533  3  0 96  0  0
11  0      0 129826160  32588 4354620    0    0     0     0 19356 32100  3  0 96  0  0
 1  0      0 129826400  32588 4354620    0    0     0     0 19292 32073  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 129826408  32588 4354620    0    0     0     0 19481 32252  3  0 96  0  0
 0  0      0 129826528  32588 4354624    0    0     0     0 19450 32138  3  0 96  0  0
 3  0      0 129825912  32588 4354624    0    0     0     0 19434 32147  3  0 96  0  0
 2  0      0 129825912  32596 4354624    0    0     0    40 19478 32536  3  0 96  0  0
 7  0      0 129821984  32596 4354624    0    0     0     0 20641 32832  3  0 96  0  0
16  0      0 129824112  32596 4354624    0    0     0    16 19628 32188  3  0 96  0  0
 1  0      0 129824480  32596 4354624    0    0     0     0 19397 32064  3  0 96  0  0
 1  0      0 129824368  32596 4354624    0    0     0     0 20004 32492  3  0 96  0  0
 0  0      0 129823528  32596 4354368    0    0     0     0 19521 32237  3  0 96  0  0
 1  0      0 129822912  32596 4354368    0    0     0     0 19398 32100  3  0 96  0  0
 1  0      0 129823648  32604 4354368    0    0     0    68 19376 32132  3  0 96  0  0
 0  0      0 129823648  32604 4354368    0    0     0     0 19331 32171  3  0 96  0  0
 1  0      0 129823648  32604 4354368    0    0     0     0 19488 32829  3  0 97  0  0
 0  0      0 129823648  32604 4354368    0    0     0     0 19414 32103  3  0 96  0  0
 1  0      0 129823904  32604 4354368    0    0     0     0 19374 32146  3  0 97  0  0
 6  0      0 129824064  32604 4354368    0    0     0     0 19290 32145  3  0 97  0  0
 0  0      0 129824064  32604 4354368    0    0     0     0 19507 32215  3  0 96  0  0
 3  0      0 129823824  32604 4354368    0    0     0     0 19311 32157  3  0 96  0  0
 3  0      0 129819184  32604 4354368    0    0     0     0 20440 32504  3  0 96  0  0
 2  0      0 129819592  32604 4354320    0    0     0     0 19502 32819  3  0 96  0  0
 0  0      0 129819840  32604 4354320    0    0     0     0 19423 32239  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 129819560  32604 4354320    0    0     0     0 20784 32814  3  0 96  0  0
 0  0      0 129819512  32604 4354132    0    0     0     0 19419 32137  3  0 96  0  0
 2  0      0 129817600  32612 4354124    0    0     0    44 19710 32432  3  0 96  0  0
 6  0      0 129819360  32612 4354260    0    0     0     0 20527 32775  3  0 96  0  0
 0  0      0 129819856  32612 4354260    0    0     0    20 19257 32012  3  0 96  0  0
 1  0      0 129819856  32612 4354260    0    0     0     0 19910 32259  4  1 96  0  0
 2  0      0 129820424  32612 4354264    0    0     0     0 20132 32668  3  0 96  0  0
 5  0      0 129820064  32612 4354264    0    0     0     0 19409 32616  3  0 97  0  0
11  0      0 129820784  32620 4354264    0    0     0    40 19227 31968  3  0 96  0  0
 1  0      0 129820784  32620 4354264    0    0     0     0 19346 31996  3  0 96  0  0
 0  0      0 129819056  32620 4354264    0    0     0     0 19220 32111  3  0 97  0  0
 1  0      0 129815008  32620 4354264    0    0     0     0 20449 32579  3  0 96  0  0
 0  0      0 129818512  32620 4354268    0    0     0     0 19656 32239  3  0 96  0  0
 0  0      0 129818704  32620 4354268    0    0     0     0 19413 32096  3  0 96  0  0
 6  0      0 129819856  32620 4354268    0    0     0    24 20567 32842  3  0 96  0  0
 0  0      0 129819088  32620 4354300    0    0     0     0 20018 32611  3  0 96  0  0
 1  0      0 129818976  32620 4354124    0    0     0     0 19378 32659  3  0 96  0  0
 0  0      0 129815704  32628 4354124    0    0     0    48 19313 32013  3  0 96  0  0
 2  0      0 129816304  32628 4354124    0    0     0     0 19222 32039  3  0 96  0  0
 2  0      0 129816424  32628 4354124    0    0     0    24 19479 32146  3  0 96  0  0
 0  0      0 129816392  32628 4354124    0    0     0     0 19180 32033  3  0 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
