procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 351714464      0 8079412    0    0     0     0    1    2  0  0 100  0  0
 0  1      0 351668672   3196 8108160    0    0  3157     0 12381 23463  0  0 99  0  0
 5  1      0 351554240  21020 8181168    0    0 17720     0 10504 20311  0  0 99  0  0
 1  1      0 351555424  21020 8182180    0    0     0     0 8238 15322  0  0 99  1  0
 0  1      0 351556576  21020 8182180    0    0     0     0 8496 15293  0  0 99  1  0
 2  1      0 351556832  21020 8182180    0    0     0     0 8607 15538  0  0 99  1  0
 1  1      0 351556128  21020 8182180    0    0     0     0 8501 15367  0  0 99  1  0
 1  1      0 351555904  21020 8182180    0    0     0     0 8581 15347  0  0 99  1  0
 0  1      0 351555904  21020 8182180    0    0     0     0 8591 15417  0  0 99  1  0
 9  0      0 351469184  21460 8182492    0    0   452     0 18182 89602  2  0 98  0  0
 7  0      0 351420992  21460 8183212    0    0     0     0 24008 170723  3  0 97  0  0
 8  0      0 351418752  21460 8183216    0    0     0     0 18584 184173  3  0 97  0  0
 8  0      0 351403168  21460 8183288    0    0     0     0 9267 21292  1  0 99  0  0
 2  0      0 351403264  21460 8183292    0    0     0     0 8461 15437  0  0 100  0  0
 1  0      0 351403296  21460 8183292    0    0     0     0 8142 15022  0  0 100  0  0
 0  0      0 351403296  21460 8183292    0    0     0     0 8134 14852  0  0 100  0  0
 0  0      0 351403296  21460 8183292    0    0     0     0 8542 15109  0  0 100  0  0
 2  1      0 351323648  21460 8187520    0    0     0     0 41482 30162  1  0 98  0  0
 4  1      0 351278944  21460 8187520    0    0     0     0 15178 28642  1  0 99  1  0
 1  1      0 351223040  21460 8187612    0    0     0     0 17350 32128  1  0 99  1  0
 3  1      0 351149120  21460 8187668    0    0     0     0 17401 32753  1  0 99  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1      0 351112544  21460 8187736    0    0     0     0 16224 29837  1  0 99  1  0
 2  1      0 351049856  21460 8191552    0    0     0     0 20099 33836  1  0 98  1  0
 1  1      0 351019392  21460 8191948    0    0     0     0 18197 31692  1  0 99  0  0
 0  0      0 350964704  21460 8193068    0    0     0     0 23335 40611  1  0 99  0  0
 2  0      0 350920032  21460 8193112    0    0     0     0 18599 32008  1  0 99  0  0
 1  0      0 350852576  21460 8193176    0    0     0     0 20252 35323  1  0 99  0  0
 0  0      0 350864192  21460 8193248    0    0     0     0 14291 22830  1  0 99  0  0
 1  0      0 350865440  21460 8193300    0    0     0     0 12783 20515  0  0 99  0  0
 3  0      0 350865216  21460 8193332    0    0     0     0 13553 21765  0  0 99  0  0
 0  0      0 350865568  21460 8193384    0    0     0     0 13444 21774  1  0 99  0  0
 0  0      0 350864512  21460 8193436    0    0     0     0 28217 29895  1  1 99  0  0
 0  0      0 350861376  21460 8193480    0    0     0     0 16975 27088  1  0 99  0  0
 0  0      0 350860800  21460 8193524    0    0     0     0 13195 21376  0  0 99  0  0
 1  0      0 350865920  21460 8193572    0    0     0     0 13309 21085  0  0 99  0  0
 0  0      0 350864960  21460 8193584    0    0     0     0 13209 21043  0  0 99  0  0
 0  0      0 350868736  21460 8193656    0    0     0     0 14931 22863  1  0 99  0  0
 1  0      0 350871200  21460 8193712    0    0     0     0 13339 21229  0  0 100  0  0
 0  0      0 350871584  21460 8193752    0    0     0     0 12494 20063  0  0 100  0  0
 0  0      0 350873600  21460 8193796    0    0     0     0 12966 21149  0  0 99  0  0
 0  0      0 350870848  21460 8193848    0    0     0     0 13380 21589  1  0 99  0  0
 0  0      0 350870080  21460 8193892    0    0     0     0 13381 21106  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 350868096  21460 8193936    0    0     0     0 13045 20882  0  0 99  0  0
 0  0      0 350840640  21460 8193984    0    0     0     0 17000 21538  1  0 99  0  0
 0  0      0 350857440  21460 8194024    0    0     0     0 12951 21261  0  0 100  0  0
 1  0      0 350860800  21460 8194116    0    0     0     0 13201 21359  0  0 100  0  0
 1  0      0 350862816  21460 8194156    0    0     0     0 13253 21888  0  0 100  0  0
 0  0      0 350863712  21460 8194216    0    0     0     0 13105 21298  0  0 100  0  0
 1  0      0 350865984  21460 8194256    0    0     0     0 12545 20258  0  0 100  0  0
 0  0      0 350869120  21460 8194304    0    0     0     0 13283 21579  0  0 99  0  0
 2  0      0 350867552  21460 8194344    0    0     0     0 13236 21892  0  0 99  0  0
 1  0      0 350871808  21460 8194400    0    0     0     0 13235 21011  0  0 99  0  0
 0  0      0 350874656  21460 8194444    0    0     0     0 13128 21271  0  0 99  0  0
 1  0      0 350877376  21460 8194512    0    0     0     0 12730 20691  0  0 99  0  0
 0  0      0 350880064  21460 8194584    0    0     0     0 12967 21384  0  0 100  0  0
 3  0      0 350882688  21460 8194652    0    0     0     0 13310 21181  0  0 99  0  0
 0  0      0 350884672  21460 8194708    0    0     0     0 13256 22037  0  0 99  0  0
 0  0      0 350889344  21460 8194768    0    0     0     0 13034 21059  0  0 99  0  0
 1  0      0 350889472  21460 8194808    0    0     0     0 12860 20830  0  0 99  0  0
 1  0      0 350890976  21460 8194860    0    0     0     0 13073 21262  0  0 99  0  0
 1  0      0 350886912  21460 8194904    0    0     0     0 13454 21737  0  0 99  0  0
 1  0      0 350889408  21460 8194988    0    0     0     0 16845 27638  0  0 99  0  0
 0  0      0 350889216  21460 8195036    0    0     0     0 12768 21014  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 350890656  21460 8195076    0    0     0     0 12632 20846  0  0 99  0  0
 1  0      0 350892256  21460 8195124    0    0     0     0 12485 20585  0  0 99  0  0
