procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 157720112  19964 4079760    0    0     0     7    0    0 43  1 56  0  0
 3  0      0 157655360  19964 4126040    0    0    88     0 26731 36960  2  1 98  0  0
 2  1      0 157651584  21976 4129524    0    0  1989     0 14014 28898  2  0 97  1  0
 2  0      0 157635840  23880 4137068    0    0  1868    24 13156 27650  2  0 98  0  0
 1  0      0 157624880  26112 4148984    0    0  2234     0 13855 30770  2  0 98  0  0
14  0      0 157609472  29368 4160144    0    0  3225     0 15597 39444  2  1 98  0  0
12  0      0 157589584  32304 4173424    0    0  2955     0 15008 36900  2  0 98  0  0
 8  1      0 157571568  34876 4184044    0    0  2542    56 15086 33778  2  1 98  0  0
12  0      0 157552304  38076 4198892    0    0  3177    48 15825 39879  2  1 98  0  0
11  0      0 157532608  41268 4214012    0    0  3179     0 15534 39381  2  1 98  0  0
10  0      0 157447504  42068 4288176    0    0   802    84 30501 53668  2  1 98  0  0
11  0      0 157395392  42120 4308616    0    0    53     0 18534 28434  2  0 98  0  0
 9  0      0 157351200  42120 4315608    0    0     0     0 12936 16722  2  0 98  0  0
10  0      0 157315712  42120 4354536    0    0     0     0 24618 37269  2  0 97  0  0
10  0      0 157306112  42120 4361952    0    0     0     0 13750 18445  2  0 98  0  0
 9  0      0 157276080  42120 4361952    0    0     0     0 11494 14305  2  0 97  0  0
12  0      0 157237792  42128 4361944    0    0     0    52 11545 14729  2  0 97  0  0
10  0      0 157213712  42128 4376432    0    0     0     0 15376 21256  2  0 97  0  0
11  0      0 157189024  42128 4391840    0    0     0     8 15980 21515  2  0 97  0  0
10  0      0 157161248  42128 4407200    0    0     0     0 15553 20881  2  0 97  0  0
10  0      0 157160256  42128 4407208    0    0     0     0 10986 13731  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10  0      0 157160288  42128 4406928    0    0     0     0 10609 13717  2  0 98  0  0
10  0      0 157139984  42136 4412184    0    0     0    40 12499 15985  2  0 97  0  0
12  0      0 157137504  42136 4412148    0    0     0     0 10593 13448  2  0 98  0  0
13  0      0 157133136  42136 4412900    0    0     0     0 10911 13933  2  0 97  0  0
10  0      0 157076320  42144 4428108    0    0     0    36 17727 23752  2  0 97  0  0
10  0      0 157060784  42144 4443148    0    0     0     0 15968 21868  2  0 97  0  0
 7  0      0 157045232  42144 4458760    0    0     0     0 21481 29122  3  1 96  0  0
 7  0      0 157021968  42144 4458760    0    0     0    12 15920 20852  2  0 97  0  0
11  0      0 157015728  42144 4465200    0    0     0     0 12620 16921  2  0 97  0  0
 8  0      0 157013712  42144 4465200    0    0     0     0 10736 13594  2  0 98  0  0
 9  0      0 157013920  42152 4465336    0    0     0    44 11004 14232  2  0 97  0  0
10  0      0 157011776  42152 4465336    0    0     0     0 10741 13764  2  0 98  0  0
 8  0      0 157003344  42152 4465340    0    0     0     0 11823 14119  2  0 98  0  0
10  0      0 157003344  42152 4465340    0    0     0     0 9943 12354  2  0 98  0  0
 7  0      0 157003344  42152 4465340    0    0     0     0 9879 12515  2  0 98  0  0
 5  0      0 157003344  42152 4465340    0    0     0     0 9965 12598  2  0 98  0  0
11  0      0 157003344  42152 4465340    0    0     0     0 9911 12511  2  0 98  0  0
13  0      0 157003344  42160 4465332    0    0     0    60 9945 12345  2  0 98  0  0
37  0      0 156965056  42160 4465332    0    0     0     0 11470 13054  2  0 98  0  0
49  0      0 156945360  42160 4465684    0    0     0     0 13022 14495  2  0 97  0  0
20  0      0 156900992  42160 4465692    0    0     0     0 12178 14097  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
121  0      0 156878464  42160 4465960    0    0     0     0 11321 10889  2  0 97  0  0
20  0      0 156847264  42160 4466304    0    0     0    40 12295 13069  2  1 97  0  0
130  0      0 156810976  42168 4466400    0    0     0    36 14597 18270  2  0 97  0  0
121  0      0 156799728  42168 4466472    0    0     0     0 11234 9322  2  0 97  0  0
13  0      0 156744368  42168 4470468    0    0     0     0 12033 13302  2  0 97  0  0
16  0      0 156729280  42168 4470888    0    0     0     0 12178 14728  2  0 97  0  0
37  0      0 156713488  42168 4470888    0    0     0     0 12714 15194  2  0 98  0  0
33  0      0 156699376  42168 4470932    0    0     0     0 11509 12697  2  0 97  0  0
 6  0      0 156690480  42176 4471004    0    0     0    44 10948 10044  2  1 97  0  0
35  1      0 156678336  42176 4471212    0    0     0     0 13044 12452  2  1 97  0  0
112  1      0 156659424  42176 4471212    0    0     0     0 13115 15671  2  0 97  0  0
126  1      0 156647184  42176 4471328    0    0     0     0 11460 12788  2  0 97  0  0
167  1      0 156630928  42176 4471416    0    0     0     0 11555 14261  2  0 97  0  0
85  1      0 156616880  42176 4471420    0    0     0     0 11504 14253  2  0 97  0  0
29  0      0 156605152  42184 4471412    0    0     0    40 13601 16842  2  0 97  0  0
38  0      0 156595344  42184 4471420    0    0     0     0 12291 13908  2  0 97  0  0
81  0      0 156578288  42184 4471420    0    0     0     0 12031 13442  2  0 98  0  0
35  0      0 156566560  42184 4471440    0    0     0     0 11645 14160  2  0 97  0  0
157  0      0 156536128  42184 4471600    0    0     0     0 11178 11565  2  0 98  0  0
40  0      0 156524880  42184 4471640    0    0     0     0 14302 15589  2  1 97  0  0
31  0      0 156504672  42192 4471672    0    0     0    44 11191 12755  2  0 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 156473632  42192 4475512    0    0     0     0 11318 11888  2  0 98  0  0
 7  0      0 156437312  42192 4480040    0    0     0     0 11897 12764  2  0 97  0  0
22  0      0 156420896  42192 4479932    0    0     0     0 12804 15207  2  0 97  0  0
57  0      0 156404768  42192 4479956    0    0     0     0 11431 12736  2  0 98  0  0
110  0      0 156367872  42232 4480152    0    0    42     0 11388 12006  2  0 98  0  0
124  0      0 156349280  42232 4484004    0    0     0     0 11467 10939  2  0 97  0  0
24  0      0 156342240  42232 4484276    0    0     0     0 12276 12424  2  0 97  0  0
195  0      0 156323472  42232 4484776    0    0     0     0 10452 9950  2  0 98  0  0
33  0      0 156308304  42232 4484824    0    0     0     0 16482 21139  2  1 97  0  0
51  0      0 156296816  42232 4484836    0    0     0     0 13774 15113  2  0 97  0  0
82  0      0 156286096  42232 4484848    0    0     0    32 12258 13909  2  0 97  0  0
15  0      0 156273680  42232 4484880    0    0     0     0 12066 13174  2  0 97  0  0
11  0      0 156252464  42232 4484896    0    0     0     0 13569 13923  2  0 97  0  0
18  0      0 156227936  42240 4488748    0    0     0    64 12932 12084  2  0 97  0  0
33  0      0 156209840  42240 4488896    0    0     0     0 12018 11299  2  0 98  0  0
36  0      0 156185600  42240 4493216    0    0     0    48 12025 10987  2  0 97  0  0
52  0      0 156167104  42240 4493736    0    0     0     0 12390 11901  2  0 97  0  0
